ressort_name,year,granted,not_granted,count,transparency,filed_requests,fees_charged,filed_objections,filed_lawsuits
AA,2010,102,46,148,69.0,158,31,27,7
AA,2011,127,36,163,78.0,153,38,8,7
AA,2012,80,57,137,58.0,147,35,13,3
AA,2013,60,92,152,39.0,147,35,7,6
AA,2014,110,82,192,57.0,206,33,13,10
AA,2015,115,216,331,35.0,349,43,9,6
AA,2016,109,164,273,40.0,251,26,8,8
AA,2017,123,160,283,43.0,341,48,9,0
AA,2018,187,314,501,37.0,434,75,14,3
AA,2019,164,353,517,32.0,533,85,18,1
AA,2020,192,540,732,26.0,872,74,33,2
AA,2021,138,189,327,42.0,334,76,14,7
AA,2022,190,308,498,38.0,520,93,14,1
AA,2023,200,295,495,40.0,517,101,17,6
AA,2024,223,303,526,42.0,515,108,14,7
AA,2025,168,401,569,30.0,559,87,13,3
BBank,2011,4,9,13,31.0,13,0,2,0
BBank,2012,8,4,12,67.0,13,2,1,1
BBank,2013,4,2,6,67.0,5,0,2,0
BBank,2014,7,2,9,78.0,10,0,0,0
BBank,2015,7,3,10,70.0,14,1,0,0
BBank,2016,39,7,46,85.0,41,1,1,0
BBank,2017,27,10,37,73.0,38,0,2,0
BBank,2018,36,17,53,68.0,55,1,0,0
BBank,2019,12,11,23,52.0,28,0,1,1
BBank,2020,15,31,46,33.0,49,1,0,0
BBank,2021,11,29,40,28.0,40,2,0,0
BBank,2022,10,42,52,19.0,48,2,2,0
BBank,2023,10,28,38,26.0,41,0,1,0
BBank,2024,5,18,23,22.0,25,0,0,0
BBank,2025,19,22,41,46.0,45,1,3,1
BK,2010,8,20,28,29.0,31,4,3,5
BK,2011,14,10,24,58.0,37,2,3,1
BK,2012,771,20,791,97.0,790,9,9,7
BK,2013,45,48,93,48.0,90,15,6,5
BK,2014,42,77,119,35.0,118,19,16,6
BK,2015,59,165,224,26.0,237,21,4,3
BK,2016,54,323,377,14.0,373,28,12,3
BK,2017,38,231,269,14.0,278,20,13,9
BK,2018,29,141,170,17.0,163,15,16,5
BK,2019,65,257,322,20.0,335,28,7,1
BK,2020,132,184,316,42.0,333,34,15,3
BK,2021,259,166,425,61.0,410,42,32,7
BK,2022,78,185,263,30.0,267,39,18,7
BK,2023,69,163,232,30.0,216,31,14,4
BK,2024,43,207,250,17.0,250,24,18,4
BK,2025,39,283,322,12.0,314,30,16,7
BKM,2010,12,6,18,67.0,21,4,7,2
BKM,2011,14,8,22,64.0,24,2,0,1
BKM,2012,12,5,17,71.0,15,5,2,0
BKM,2013,20,4,24,83.0,21,7,1,0
BKM,2014,17,20,37,46.0,35,5,2,0
BKM,2015,15,20,35,43.0,51,3,0,1
BKM,2016,25,28,53,47.0,52,7,1,0
BKM,2017,47,16,63,75.0,64,1,1,0
BKM,2018,24,18,42,57.0,51,1,0,0
BKM,2019,30,16,46,65.0,48,4,1,1
BKM,2020,34,18,52,65.0,53,4,2,0
BKM,2021,43,18,61,70.0,59,7,4,1
BKM,2022,82,34,116,71.0,122,6,2,0
BKM,2023,68,33,101,67.0,110,6,4,0
BKM,2024,71,36,107,66.0,105,11,5,0
BKM,2025,53,58,111,48.0,106,7,4,0
BMAS,2010,107,70,177,60.0,160,23,20,15
BMAS,2011,174,163,337,52.0,335,67,57,42
BMAS,2012,185,177,362,51.0,359,99,44,9
BMAS,2013,319,180,499,64.0,507,169,59,11
BMAS,2014,465,125,590,79.0,614,17,20,10
BMAS,2015,804,125,929,87.0,934,40,34,20
BMAS,2016,1106,164,1270,87.0,1286,30,32,8
BMAS,2017,1150,177,1327,87.0,1312,24,26,7
BMAS,2018,1109,173,1282,87.0,1287,20,14,3
BMAS,2019,1092,168,1260,87.0,1289,9,19,8
BMAS,2020,1443,197,1640,88.0,1690,17,35,6
BMAS,2021,1107,219,1326,83.0,1402,21,35,21
BMAS,2022,996,172,1168,85.0,1224,11,28,11
BMAS,2023,702,267,969,72.0,1035,16,58,8
BMAS,2024,570,231,801,71.0,856,10,24,5
BMAS,2025,733,322,1055,69.0,1126,27,27,9
BMBFSFJ,2010,29,9,38,76.0,38,6,4,1
BMBFSFJ,2011,10,10,20,50.0,20,2,1,0
BMBFSFJ,2012,20,11,31,65.0,33,2,11,2
BMBFSFJ,2013,44,20,64,69.0,64,5,3,1
BMBFSFJ,2014,27,14,41,66.0,45,2,3,1
BMBFSFJ,2015,39,23,62,63.0,59,5,3,4
BMBFSFJ,2016,63,34,97,65.0,95,6,1,1
BMBFSFJ,2017,61,47,108,56.0,114,7,3,1
BMBFSFJ,2018,40,55,95,42.0,97,1,3,2
BMBFSFJ,2019,54,53,107,50.0,107,3,9,1
BMBFSFJ,2020,97,77,174,56.0,177,2,5,0
BMBFSFJ,2021,116,51,167,69.0,168,2,3,4
BMBFSFJ,2022,172,108,280,61.0,314,1,7,1
