Ressort,Eingang Erstanträge,Antrag zurückgenommen,Informationszugang gewährt,Informationszugang teilweise gewährt,Informationszugang abgelehnt,Erstantrag noch in Bearbeitung,Vorschuss (0 - 50),Vorschuss (50 - 100),Vorschuss (100 -),Gebühr erhoben,Höhe der Gebühr (unter 50 ),Höhe der Gebühr (50 - 100 ),Höhe der Gebühr (> 100 ),Auslagen,Höhe der Auslagen (unter 5),Höhe der Auslagen (5 - 10),Höhe der Auslagen (>10),Eingang Widersprüche,Widerspruch in Bearbeitung,Abhilfe,Teilweise Abhilfe,Zurückweisung,W- Gebühren erhoben (0 - 30),W- Gebühren erhoben (30 ),W- Gebühren erhoben (> 30 ),Eingang Klagen,anhängig,Stattgabe,Teilweise Stattgabe,Abweisung
BK,38,2,9,3,16,8,"","",1,2,1,"",1,1,"","",1,4,"","",1,3,"",2,"",1,1,"","",""
BK GB,13,"","","","",13,"","","","","","","","","","","","","","","","","","","","","","","",""
BK Gesamt,51,2,9,3,16,21,0,0,1,2,1,0,1,1,0,0,1,4,0,0,1,3,0,2,0,1,1,0,0,0
BMAS,18,"",7,3,1,7,1,"","",3,"",1,2,3,3,"","",3,1,"",2,"","",1,"","","","","",""
BMAS GB,117,4,72,7,20,14,1,"",1,2,1,"",1,1,"",1,"",1,"","",1,"","","","","","","","",""
BMAS Gesamt,135,4,79,10,21,21,2,0,1,5,1,1,3,4,3,1,0,4,1,0,3,0,0,1,0,0,0,0,0,0
AA,131,7,67,14,37,6,"","","",29,28,"",1,16,10,6,"",16,2,4,2,8,"",4,"",3,3,"","",""
AA GB,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
AA Gesamt,131,7,67,14,37,6,0,0,0,29,28,0,1,16,10,6,0,16,2,4,2,8,0,4,0,3,3,0,0,0
BMI,47,"",25,5,14,3,"","","",5,"","",5,5,3,"",2,7,1,1,1,4,"",5,"",1,1,"","",""
BMI GB,55,5,22,4,19,5,"",1,"","","","","","","","","",3,2,"","",1,"","","","","","","",""
BMI Gesamt,102,5,47,9,33,8,0,1,0,5,0,0,5,5,3,0,2,10,3,1,1,5,0,5,0,1,1,0,0,0
BMJ,51,2,25,12,3,9,"","",3,6,"",1,5,7,1,"",6,3,1,"",1,1,"",1,1,1,1,"","",""
BMJ GB,26,"",7,3,15,1,"","","","","","","","","","","",2,1,1,"","","","","","","","","",""
BMJ Gesamt,77,2,32,15,18,10,0,0,3,6,0,1,5,7,1,0,6,5,"",1,1,1,0,1,1,1,1,0,0,0
BMF,43,"",24,4,11,4,"","","","","","","","","","","",4,2,"","",2,"",2,"",1,1,"","",""
BMF GB,128,7,30,20,60,11,"","","",2,"",1,1,2,1,1,"",30,17,1,"",12,"",12,"",5,5,"","",""
BMF Gesamt,171,7,54,24,71,15,0,0,0,2,0,1,1,2,1,1,0,34,19,1,0,14,0,14,0,6,6,0,0,0
BMWi,21,1,8,1,9,2,"","","",1,"","",1,1,"",1,"",2,1,"","",1,"",1,"","","","","",""
BMWi GB,607,19,485,68,33,2,"","","",20,4,8,8,7,5,2,"",6,"","",1,5,"",1,3,2,2,"","",""
BMWi Gesamt,628,20,493,69,42,4,0,0,0,21,4,8,9,8,5,3,0,8,1,0,1,6,0,2,3,2,2,0,0,0
BMELV*,111,"",95,1,7,8,"","",1,1,1,"","","","","","",3,"","","",3,"",2,"",3,3,"","",""
BMELV GB,53,"",26,4,11,12,1,"",1,2,"","",2,1,"",1,"",5,1,"","",4,"",2,"",2,2,"","",""
BMELV Gesamt,164,0,121,5,18,20,1,0,2,3,1,0,2,1,0,1,0,8,1,0,0,7,0,4,0,5,5,0,0,0
BMVg,26,"",8,1,14,3,"","","",3,1,2,"",4,2,"",2,2,1,"","",1,"",1,"","","","","",""
BMVg GB,18,1,9,2,5,1,1,"","",5,3,1,1,5,5,"","",2,1,"","",1,"","",1,2,2,"","",""
BMVg Gesamt,44,1,17,3,19,4,1,0,0,8,4,3,1,9,7,0,2,4,2,0,0,2,0,1,1,2,2,0,0,0
BMFSFJ,21,"",10,2,4,5,"",1,1,3,"",1,2,1,"","",1,3,3,"","","","","","","","","","",""
BMFSFJ GB,23,"",8,"",15,"","","","",3,"","",3,3,3,"","",6,3,"","",3,"",2,"",2,2,"","",""
BMFSFJ Gesamt,44,0,18,2,19,5,0,1,1,6,0,1,5,4,3,0,1,9,6,0,0,3,0,2,0,2,2,0,0,0
BMG,18,2,8,2,4,2,"","","",2,1,"",1,2,2,"","",3,1,"",1,1,"",1,"","","","","",""
BMG GB**,526,8,155,16,51,183,"","","",3,2,"",1,1,1,"","",9,7,"","",2,"","","",1,1,"","",""
BMG Gesamt,544,10,163,18,55,185,0,0,0,5,3,0,2,3,3,0,0,12,8,0,1,3,0,1,0,1,1,0,0,0
BMVBS,48,1,11,6,28,2,"","","",4,1,1,2,3,2,1,"",15,7,3,1,4,"",3,1,2,2,"","",""
BMVBS GB,102,8,62,2,24,6,"","","",17,6,5,6,5,1,2,2,8,3,"","",5,"",2,3,1,1,"","",""
BMVBS Gesamt,150,9,73,8,52,8,0,0,0,21,7,6,8,8,3,3,2,23,10,3,1,9,0,5,4,3,3,0,0,0
BMU,5,"",2,"",3,"","","","","","","","","","","","","","","","","","","","","","","","",""
BMU GB,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
BMU Gesamt,5,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMBF,5,"",3,1,1,"","","","","","","","","","","","","","","","","","","","","","","","",""
BMBF GB,1,"",1,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
BMBF Gesamt,6,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMZ***,13,"",8,1,3,1,"","","","","","","","","","","",1,"","","",1,"",1,"","","","","",""
BKM,3,"",1,1,"",1,"","","","","","","","","","","",1,"","",1,"","",1,"","","","","",""
BKM GB,4,"",1,2,1,"","","","",1,1,"","",1,1,"","",3,2,"",1,"","",1,"","","","","",""
BKM Gesamt,7,0,2,3,1,1,0,0,0,1,1,0,0,1,1,0,0,4,2,0,2,0,0,2,0,0,0,0,0,0
BPA***,6,"",4,1,1,"","","","","","","","","","","","","","","","","","","","","","","","",""
