Ressort,Anträge in Bearbeitung zum Jahresbeginn,Eingang Erstanträge,Erstantrag noch in Bearbeitung,Informationszugang gewährt,Informationszugang teilweise gewährt,Informationszugang abgelehnt,sonstige Erledigung,Vorschuss,Gebühr erhoben,Höhe der Gebühr (unter 50 ),Höhe der Gebühr (50 - 100 ),Höhe der Gebühr (> 100 ),Auslagen,Widersprüche in Bearbeitung zum Jahresbeginn,Eingang Widersprüche,Widerspruch in Bearbeitung,Abhilfe,Teilweise Abhilfe,Zurückweisung,sonstige Erledigung.1,W- Gebühren erhoben (0 - 30),W- Gebühren erhoben (> 30 ),anhängige Klagen zum Jahresbeginn,Eingang Klagen,anhängig,Stattgabe,Teilweise Stattgabe,Abweisung,sonstige Erledigung.2
BK,2,37,15,6,8,"",10,"",2,"","",2,2,"",3,2,"",1,"","",1,"",3,1,3,"","","",1
BK GB,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
BK Gesamt,2,37,15,6,8,"",10,"",2,"","",2,2,"",3,2,"",1,"","",1,"",3,1,3,"","","",1
BMAS,3,20,9,6,"",6,2,1,1,"","",1,1,1,2,"","","",3,"",2,"",2,2,2,"","",1,1
BMAS GB,29,315,21,163,5,133,22,172,66,3,1,62,3,7,55,25,3,1,29,4,1,"",14,40,37,"","",14,3
BMAS Gesamt,32,335,30,169,5,139,24,173,67,3,1,63,4,8,57,25,3,1,32,4,3,"",16,42,39,"","",15,4
AA,16,153,6,86,41,9,27,1,38,30,8,"",4,"",8,"",4,"",3,1,6,1,8,7,5,"",1,2,7
AA GB,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
AA Gesamt,16,153,6,86,41,9,27,1,38,30,8,"",4,"",8,"",4,"",3,1,6,1,8,7,5,"",1,2,7
BMI,4,99,39,26,9,8,21,"",3,1,1,1,2,1,6,"",1,"",4,2,3,1,1,6,2,"",1,"",4
BMI GB,4,70,6,22,6,16,24,"",25,7,8,10,15,2,10,3,2,1,5,1,4,"",4,6,10,"","","",""
BMI Gesamt,8,169,45,48,15,24,45,"",28,8,9,11,17,3,16,3,3,1,9,3,7,1,5,12,12,"",1,"",4
BMJ,5,72,11,30,10,8,18,"",10,4,1,5,9,1,5,"","","",5,1,4,"",4,4,5,2,"","",1
