Ressort,Anträge in Bearbeitung zum Jahresbeginn,Eingang Erstanträge,Erstantrag noch in Bearbeitung,Informationszugang gewährt,Informationszugang teilweise gewährt,Informationszugang abgelehnt,sonstige Erledigung,Vorschuss,Gebühr erhoben,Höhe der Gebühr (unter 50 €),Höhe der Gebühr (50 - 100 €),Höhe der Gebühr (> 100 €),Auslagen,Widersprüche in Bearbeitung zum Jahresbeginn,Eingang Widersprüche,Widerspruch in Bearbeitung,Abhilfe,Teilweise Abhilfe,Zurückweisung,sonstige Erledigung.1,W- Gebühren erhoben (0 - 30€),W- Gebühren erhoben (> 30 €),anhängige Klagen zum Jahresbeginn,Eingang Klagen,anhängig,Stattgabe,Teilweise Stattgabe,Abweisung,sonstige Erledigung.2
BK,16,80,12,30,15,19,20,"",15,4,3,8,10,4,4,1,"","",6,1,4,"",6,5,10,"","","",1
BK GB,"",10,1,"","",9,"","","","","","","",1,2,1,"","",2,"","","","","","","","","",""
BK Gesamt,16,90,13,30,15,28,20,"",15,4,3,8,10,5,6,2,"","",8,1,4,"",6,5,10,"","","",1
BMAS,5,96,6,29,12,21,33,"",9,"",7,2,3,2,4,"",2,"",2,2,2,"",2,1,"","","",1,2
BMAS GB,10,411,17,264,14,101,25,149,160,5,3,152,11,41,55,52,26,1,15,2,1,"",2,10,7,1,"",2,2
BMAS Gesamt,15,507,23,293,26,122,58,149,169,5,10,154,14,43,59,52,28,1,17,4,3,"",4,11,7,1,"",3,4
AA,16,147,11,46,14,14,78,"",35,26,6,3,3,3,7,4,"",1,3,2,3,"",5,6,3,1,"",5,2
AA GB,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
AA Gesamt,16,147,11,46,14,14,78,"",35,26,6,3,3,3,7,4,"",1,3,2,3,"",5,6,3,1,"",5,2
BMI,11,166,4,63,30,17,63,"",8,1,2,5,3,45,32,65,2,1,8,1,10,"",4,8,9,"","",1,2
BMI GB,7,160,15,46,21,44,41,"",2,1,"",1,1,2,12,3,2,2,7,"",5,"",9,4,10,1,"",1,1
BMI Gesamt,18,326,19,109,51,61,104,"",10,2,2,6,4,47,44,68,4,3,15,1,15,"",13,12,19,1,"",2,3
BMJ,6,65,12,22,7,4,26,1,6,3,2,1,6,3,2,2,"","",2,1,"","",3,1,1,"","",2,1
BMJ GB,7,56,12,21,16,5,9,3,8,7,1,"",9,1,2,"","","",2,1,1,"",1,3,3,"","","",1
BMJ Gesamt,13,121,24,43,23,9,35,4,14,10,3,1,15,4,4,2,"","",4,2,1,"",4,4,4,"","",2,2
BMF,4,64,6,15,18,13,16,"",6,1,2,3,3,1,10,6,"",1,1,3,2,"",3,"",1,"","",1,1
BMF GB,52,1326,56,922,31,266,103,5,344,160,86,98,144,16,228,10,4,"",207,23,202,"",1331,53,1219,"","",7,158
BMF Gesamt,56,1390,62,937,49,279,119,5,350,161,88,101,147,17,238,16,4,1,208,26,204,"",1334,53,1220,"","",8,159
BMWi,23,93,18,39,15,41,3,1,8,1,4,3,4,7,22,4,"",1,24,"",5,2,14,14,14,"","","",14
BMWi GB,9,569,5,478,45,36,14,"",56,42,7,7,6,2,7,1,3,"",5,"",3,1,8,6,7,1,"",2,4
BMWi Gesamt,32,662,23,517,60,77,17,1,64,43,11,10,10,9,29,5,3,1,29,"",8,3,22,20,21,1,"",2,18
BMELV,2,15,1,12,1,"",3,"",4,2,"",2,3,"","","","","","","","","",1,"",1,"","","",""
BMELV GB,2,41,4,34,1,1,3,"",33,7,15,11,29,1,"","","","","",1,1,"","","","","","","",""
BMELV Gesamt,4,56,5,46,2,1,6,"",37,9,15,13,32,1,"","","","","",1,1,"",1,"",1,"","","",""
BMVg,3,77,10,46,11,9,4,3,"","","","","",1,3,1,"","",3,"",2,"","",2,2,"","","",""
BMVg GB,2,13,1,5,"",7,2,"","","","","","","","","","","","","","","","","","","","","",""
BMVg Gesamt,5,90,11,51,11,16,6,3,"","","","","",1,3,1,"","",3,"",2,"","",2,2,"","","",""
