Ressort,Eingang Erstanträge,Erledigungen und Bescheide,Informationszugang gewährt,Informationszugang teilweise gewährt,Informationszugang abgelehnt,sonstige Erledigung,Gebühr erhoben,Höhe der Gebühr (unter 50 €),Höhe der Gebühr (50 - 100 €),Höhe der Gebühr (> 100 €),Eingang Widersprüche,Erledigungen und Widerspruchsbescheide,Abhilfe,Teilweise Abhilfe,Zurückweisung,sonstige Erledigung.1,W- Gebühren erhoben (> 30 €),Eingang Klagen,Klageerledigungen ,Stattgabe,Teilweise Stattgabe,Abweisung,sonstige Erledigung.2
BK Amt,221,208,33,26,45,104,21,10,5,6,4,5,"",2,3,"",4,3,5,"","",1,4
BK Amt GB,16,16,"","",10,6,"","","","","","","","","","","","","","","","",""
BK Amt Gesamt,237,224,33,26,55,110,21,10,5,6,4,5,"",2,3,"",4,3,5,"","",1,4
BMAS,67,66,26,11,15,14,13,4,5,4,8,8,"",3,3,2,6,6,4,"","",2,2
BMAS GB,867,863,730,37,38,58,27,15,7,5,26,23,1,1,18,3,8,14,6,"",1,3,2
BMAS Gesamt,934,929,756,48,53,72,40,19,12,9,34,31,1,4,21,5,14,20,10,"",1,5,4
AA,349,331,80,35,31,185,43,25,9,9,9,9,1,"",7,1,3,6,9,"","",1,8
AA GB,"","","","","","","","","","","","","","","","","","","","","","",""
AA Gesamt,349,331,80,35,31,185,43,25,9,9,9,9,1,"",7,1,3,6,9,"","",1,8
BMI,251,236,120,9,32,75,10,"","",10,8,6,"",1,4,1,5,5,3,"","","",3
BMI GB,277,266,93,47,35,91,9,2,"",7,16,15,3,"",10,2,5,10,12,1,"",5,6
BMI Gesamt,528,502,213,56,67,166,19,2,"",17,24,21,3,1,14,3,10,15,15,1,"",5,9
BMJV,118,110,43,7,15,45,12,3,2,7,5,6,2,1,1,2,2,1,1,"","",1,""
BMJV GB,99,90,30,19,10,31,11,6,3,2,9,9,2,"",7,"",3,5,1,"","","",1
BMJV Gesamt,217,200,73,26,25,76,23,9,5,9,14,15,4,1,8,2,5,6,2,"","",1,1
BMF,1443,9430,1521,6969,825,413,10,1,2,1,887,2515,1,3,2509,13,30,358,6,"",1,"",5
BMF GB,2727,2809,1224,1161,101,326,1115,221,717,177,1199,798,6,2,768,22,733,512,374,2,1,213,158
BMF Gesamt,4170,12239,2745,8130,926,739,1125,222,719,178,2086,3313,7,5,3277,35,763,870,380,2,2,213,163
BMWi,165,144,41,20,41,42,11,"",5,6,7,6,"","",3,3,3,10,1,"","","",1
BMWi GB,558,540,349,29,114,48,46,30,5,11,15,14,"","",11,3,2,4,1,"","","",1
BMWi Gesamt,723,684,390,49,155,90,57,30,10,17,22,20,"","",14,6,5,14,2,"","","",2
BMEL,19,15,10,1,2,2,2,"","",2,"","","","","","","","","","","","",""
BMEL GB,59,61,46,3,7,5,58,5,24,29,1,1,"","",1,"","","","","","","",""
BMEL Gesamt,78,76,56,4,9,7,60,5,24,31,1,1,"","",1,"","","","","","","",""
BMVg,71,72,48,9,11,4,"","","","",6,8,"",1,6,1,4,"","","","","",""
BMVg GB,39,38,11,6,7,14,"","","","",2,1,1,"","","","","",1,1,"","",""
BMFSFJ,23,22,5,4,3,10,"","","","","","","","","","","","","","","","",""
BMFSFJ GB,36,40,27,3,8,2,5,3,2,"",3,4,"",1,3,"",2,4,3,"","",1,2
BMFSFJ Gesamt,59,62,32,7,11,12,5,3,2,"",3,4,"",1,3,"",2,4,3,"","",1,2
BMG,32,33,16,1,6,10,2,"","",2,2,"","","","","","",1,"","","","",""
BMG GB,218,199,117,21,8,53,37,2,8,27,5,4,1,"",3,"",1,3,3,1,"","",2
BMG Gesamt,250,232,133,22,14,63,39,2,8,29,7,4,1,"",3,"",1,4,3,1,"","",2
BMVI,40,37,9,11,9,8,6,3,1,2,3,1,1,"","","","","",2,"","",1,1
BMVI GB,150,142,99,9,11,23,29,9,5,15,6,6,"",4,2,"",6,"",1,"","","",1
BMVI Gesamt,190,179,108,20,20,31,35,12,6,17,9,7,1,4,2,"",6,"",3,"","",1,2
BMUB,8,8,6,"","",2,"","","","","","","","","","","","","","","","",""
BMUB GB,18,19,13,1,3,2,"","","","",1,1,"","",1,"","","","","","","",""
BMUB Gesamt,26,27,19,1,3,4,"","","","",1,1,"","",1,"","","","","","","",""
BMBF,46,52,22,2,22,6,"","","","","","","","","","","","","","","","",""
BMBF GB,"","","","","","","","","","","","","","","","","","","","","","",""
BMBF Gesamt,46,52,22,2,22,6,"","","","","","","","","","","","","","","","",""
BKM,36,26,4,4,10,8,1,"",1,"","",1,"","",1,"",1,1,"","","","",""
BKM GB,15,9,4,3,1,1,2,2,"","","","","","","","","","","","","","",""
BKM Gesamt,51,35,8,7,11,9,3,2,1,"","",1,"","",1,"",1,1,"","","","",""
BMZ***,156,155,6,3,1,145,1,"","",1,1,2,1,1,"","","","","","","","",""
BPA***,61,60,40,"",2,18,"","","","","","","","","","","","","","","","",""
BPrA***,38,38,6,8,11,13,"","","","","","","","","","","","","","","","",""
BT,884,711,209,47,170,285,5,1,1,3,10,3,"","",1,2,1,2,3,3,"","",""
BR***,15,15,9,5,1,"","","","","","","","","","","","","","","","","",""
BBk***,14,10,7,"","",3,1,1,"","","","","","","","","","","","","","",""
BfDI***,227,42,25,6,6,5,"","","","",1,"","","","","","","","","","","",""
BVerfG***,9,9,3,4,"",2,"","","","","",1,"","","",1,"","","","","","",""
BRH***,4,5,1,"",1,3,"","","","","","","","","","","","","","","","",""
