"Ressort","Eingang Erstanträge","Erledigungen und Bescheide","Informationszugang gewährt","Informationszugang teilweise gewährt","Informationszugang abgelehnt","sonstige Erledigung","Gebühr erhoben","Höhe der Gebühr (unter 50 )","Höhe der Gebühr (50 - 100 )","Höhe der Gebühr (> 100 )","Eingang Widersprüche","Erledigungen und Widerspruchsbescheide","Abhilfe","Teilweise Abhilfe","Zurückweisung","sonstige Erledigung.1","W- Gebühren erhoben (> 30 )","Eingang Klagen ","Klageerledigungen ","Stattgabe","Teilweise Stattgabe","Abweisung","sonstige Erledigung.2"
"BK Amt",363,367,23,31,31,282,28,12,4,12,12,13,0,2,11,0,13,3,6,0,0,2,4
"BK Amt GB",10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BK Amt Gesamt",373,377,23,31,41,282,28,12,4,12,12,13,0,2,11,0,13,3,6,0,0,2,4
"BMAS",88,85,36,7,10,32,4,1,0,3,6,5,0,1,4,0,3,1,6,0,0,6,0
"BMAS GB",1198,1185,1026,37,55,67,26,9,6,11,26,15,6,1,6,2,4,7,7,0,0,3,4
"BMAS Gesamt",1286,1270,1062,44,65,99,30,10,6,14,32,20,6,2,10,2,7,8,13,0,0,9,4
"AA",251,273,67,42,27,137,26,9,11,6,8,8,1,1,5,1,1,8,10,0,1,4,5
"AA GB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA Gesamt",251,273,67,42,27,137,26,9,11,6,8,8,1,1,5,1,1,8,10,0,1,4,5
"BMI",251,253,115,17,32,89,13,,6,7,6,7,0,0,6,1,6,3,3,1,0,2,0
"BMI GB",258,242,70,29,71,72,4,0,1,3,7,9,0,0,6,3,4,9,13,1,0,6,6
"BMI Gesamt",509,495,185,46,103,161,17,0,7,10,13,16,0,0,12,4,10,12,16,2,0,8,6
"BMJV",115,117,31,9,13,64,16,3,5,8,4,4,0,1,3,0,3,3,0,0,0,0,0
"BMJV GB",81,75,33,20,3,19,11,7,2,2,3,3,0,1,0,2,1,4,7,0,0,1,6
"BMJV Gesamt",196,192,64,29,16,83,27,10,7,10,7,7,0,2,3,2,4,7,7,0,0,1,6
"BMF",263,2053,109,1674,122,148,6,0,6,0,666,631,2,3,626,0,6,49,48,0,0,3,45
"BMF GB",3343,3353,2549,160,103,541,716,276,209,231,242,740,2,131,331,276,452,309,292,0,0,0,292
"BMF Gesamt",3606,5406,2658,1834,225,689,722,276,215,231,908,1371,4,134,957,276,458,358,340,0,0,3,337
"BMWi",150,160,43,27,56,34,23,0,5,18,11,8,0,0,5,3,5,2,0,0,0,0,0
"BMWi GB",579,531,338,47,60,86,47,29,1,17,13,2,0,1,1,0,1,0,0,0,0,0,0
"BMWi Gesamt",729,691,381,74,116,120,70,29,6,35,24,10,0,1,6,3,6,2,0,0,0,0,0
"BMEL",42,41,11,8,3,19,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
"BMEL GB",42,42,24,7,2,9,22,7,7,8,3,0,0,0,0,0,0,0,0,0,0,0,0
"BMEL Gesamt",84,83,35,15,5,28,23,7,8,8,4,1,0,0,0,1,1,0,0,0,0,0,0
"BMVg",125,129,58,17,19,35,6,0,1,5,7,6,1,0,4,1,4,1,0,0,0,0,0
"BMVg GB",21,21,9,5,2,5,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"BMVG Gesamt",146,150,67,22,21,40,8,0,2,6,7,7,1,0,5,1,4,1,0,0,0,0,0
"BMFSFJ",64,62,23,6,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMFSFJ GB",31,35,31,3,1,0,6,0,1,5,1,1,0,0,1,0,0,1,3,0,0,2,1
"BMFSFJ Gesamt",95,97,54,9,3,31,6,0,1,5,1,1,0,0,1,0,0,1,3,0,0,2,1
"BMG",65,60,25,7,4,24,4,2,1,1,2,2,0,0,2,0,2,2,1,0,0,0,1
"BMG GB",210,200,117,14,14,55,45,1,4,40,5,5,0,1,4,0,1,4,0,0,0,0,0
"BMG Gesamt",275,260,142,21,18,79,49,3,5,41,7,7,0,1,6,0,3,6,1,0,0,0,1
"BMVI",52,55,12,14,11,18,1,0,0,1,7,5,0,1,3,1,2,1,0,0,0,0,0
"BMVI GB",216,203,110,38,36,19,23,10,3,10,12,9,1,0,8,0,0,4,4,0,0,1,3
"BMVI Gesamt",268,258,122,52,47,37,24,10,3,11,19,14,1,1,11,1,2,5,4,0,0,1,3
"BMUB",22,19,14,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMUB GB",44,41,27,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMUB Gesamt",66,60,41,5,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
