Ressort,Eingang Erstanträge,Erledigungen und Bescheide,Informationszugang gewährt,Informationszugang teilweise gewährt,Informationszugang abgelehnt,sonstige Erledigung,Gebühr erhoben,Höhe der Gebühr (unter 50 €),Höhe der Gebühr bis 50 - 100 €,Höhe der Gebühr bis > 100 €,Eingang Widersprüche,Erledigungen und Widerspruchsbescheide,Abhilfe,Teilweise Abhilfe,Zurückweisung,sonstige Erledigung,Widerspruchsgebühren erhoben,Eingang Klagen,Klageerledigungen in 2021,Stattgabe,Teilweise Stattgabe,Abweisung,sonstige Erledigung
BK Amt,397,412,64,195,62,91,42,32,5,5,32,30,3,11,16,0,18,7,4,0,1,1,2
BK Amt GB,13,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK Amt Gesamt,410,425,64,195,75,91,42,32,5,5,32,30,3,11,16,0,18,7,4,0,1,1,2
BMAS,94,99,19,13,9,58,0,0,0,0,2,2,0,0,1,1,1,1,0,0,0,0,0
BMAS GB,1308,1227,1050,25,93,59,21,12,6,3,33,42,8,4,20,10,8,20,0,0,0,0,0
BMAS Gesamt,1402,1326,1069,38,102,117,21,12,6,3,35,44,8,4,21,11,9,21,0,0,0,0,0
AA,334,327,75,63,33,156,76,46,16,14,14,13,1,3,8,1,7,7,2,0,0,1,1
AA GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA Gesamt,334,327,75,63,33,156,76,46,16,14,14,13,1,3,8,1,7,7,2,0,0,1,1
BMI,463,487,158,33,70,226,18,1,2,15,12,14,1,1,10,2,9,3,6,1,0,1,4
BMI GB,644,625,258,84,110,173,14,3,2,9,10,11,2,0,9,0,6,11,4,1,1,0,2
BMI Gesamt,1107,1112,416,117,180,399,32,4,4,24,22,25,3,1,19,2,15,14,10,2,1,1,6
BMJV,232,226,44,29,49,104,6,0,0,6,11,12,1,0,7,4,7,2,6,0,0,2,4
BMJV GB,260,267,228,10,12,17,4,2,2,0,7,7,1,0,4,2,3,1,2,0,0,1,1
BMJV Gesamt,492,493,272,39,61,121,10,2,2,6,18,19,2,0,11,6,10,3,8,0,0,3,5
BMF,300,292,18,29,142,103,14,0,2,12,18,19,2,0,15,2,9,5,1,0,0,0,1
BMF GB,4555,4488,3481,67,103,837,980,482,300,198,22,28,5,1,19,3,11,9,75,1,2,3,69
BMF Gesamt,4855,4780,3499,96,245,940,994,482,302,210,40,47,7,1,34,5,20,14,76,1,2,3,70
BMWi,471,462,58,20,44,340,29,7,11,11,13,7,0,2,4,1,4,1,2,0,0,0,2
BMWi GB,1058,1026,386,79,121,440,18,3,6,9,5,6,1,1,4,0,5,5,2,0,0,0,2
BMWi Gesamt,1529,1488,444,99,165,780,47,10,17,20,18,13,1,3,8,1,9,6,4,0,0,0,4
BMEL,154,156,20,15,11,110,11,0,0,11,1,2,0,0,1,1,0,1,0,0,0,0,0
BMEL GB ,52,53,26,8,6,13,9,5,2,2,2,2,0,1,1,0,1,0,1,0,0,1,0
BMEL Gesamt,206,209,46,23,17,123,20,5,2,13,3,4,0,1,2,1,1,1,1,0,0,1,0
BMVg,248,224,70,30,9,115,0,0,0,0,4,5,0,1,4,0,4,4,1,0,0,1,0
BMVg GB,58,55,26,5,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMVg Gesamt,306,279,96,35,16,132,0,0,0,0,4,5,0,1,4,0,4,4,1,0,0,1,0
BMFSFJ,84,83,28,5,20,30,2,0,0,2,3,2,0,0,2,0,0,4,0,0,0,0,0
BMFSFJ GB,84,84,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMFSFJ Gesamt,168,167,111,5,20,31,2,0,0,2,3,2,0,0,2,0,0,4,0,0,0,0,0
BMG,1237,1097,360,22,46,669,14,3,1,10,12,7,0,0,5,2,7,8,2,0,0,0,2
BMG GB,849,792,261,66,59,406,25,19,6,0,19,16,1,4,9,2,4,3,1,0,0,0,1
BMG Gesamt,2086,1889,621,88,105,1075,39,22,7,10,31,23,1,4,14,4,11,11,3,0,0,0,3
BMVI,400,366,106,32,91,137,1,0,0,1,13,9,1,0,5,3,5,3,5,0,3,0,2
BMVI GB,230,202,93,30,40,39,7,1,0,6,22,16,3,3,8,2,0,10,10,0,6,0,4
BMVI Gesamt,630,568,199,62,131,176,8,1,0,7,35,25,4,3,13,5,5,13,15,0,9,0,6
BMU,29,28,15,7,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
BMU GB,87,86,63,15,4,4,0,0,0,0,1,4,0,1,3,0,2,0,0,0,0,0,0
BMU Gesamt,116,114,78,22,4,10,0,0,0,0,1,4,0,1,3,0,2,1,1,0,0,0,1
BMBF,177,179,46,14,6,113,7,3,3,1,2,3,0,1,1,1,0,2,1,0,0,0,1
BMBF GB,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMBF Gesamt,180,182,48,14,6,114,7,3,3,1,2,3,0,1,1,1,0,2,1,0,0,0,1
BKM,34,38,23,3,1,11,7,2,0,5,1,2,1,0,1,0,1,0,0,0,0,0,0
BKM GB,25,23,13,4,5,1,0,0,0,0,3,3,1,0,2,0,0,1,0,0,0,0,0
BKM Gesamt,59,61,36,7,6,12,7,2,0,5,4,5,2,0,3,0,1,1,0,0,0,0,0
BMZ,133,135,65,3,1,66,9,4,3,2,4,4,1,1,2,0,3,3,1,0,0,1,0
BPA,43,36,10,1,21,4,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
BPrA,33,33,4,8,20,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
BT,211,215,30,4,30,151,0,0,0,0,4,3,0,0,0,3,0,0,1,0,0,0,1
BR,11,10,2,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBk,40,40,8,3,24,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BVerfG,50,43,3,6,30,4,0,0,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0
BfDI,211,187,71,5,13,98,0,0,0,0,2,2,0,0,1,1,1,0,0,0,0,0,0
BRH,4,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
