;Eingang Anträge in 2024;Erledigungen und Bescheide in 2024;Informationszugang gewährt;Informationszugang teilweise gewährt;Informationszugang abgelehnt;sonstige Erledigung;Gebühr erhoben;Höhe der Gebühr unter 50 €;Höhe der Gebühr 50 bis 100 €;Höhe der Gebühr über 100 € €;Eingang Widersprüche  in 2022;Erledigungen und Wider spruchsbescheide in  2022;Abhilfe;Teilweise Abhilfe;Zurückweisung;sonstige Erledigung;Widerspruchsgebühren erhoben;Eingang Klagen in 2022;Klageerledigungen in 2022;Stattgabe;Teilweise Stattgabe;Abweisung;sonstige Erledigung
BK Amt;245;245;24;19;90;112;24;13;1;10;17;16;3;1;11;1;9;4;3;0;1;1;1
BK Amt GB;5;5;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
BK Amt Gesamt;250;250;24;19;95;112;24;13;1;10;18;16;3;1;11;1;9;4;3;0;1;1;1
BMAS;139;138;32;11;37;58;1;0;0;1;2;3;1;1;1;0;3;0;0;0;0;0;0
BMAS GB;717;663;482;45;41;95;9;0;0;9;22;18;1;0;9;8;0;5;5;1;0;1;3
BMAS Gesamt;856;801;514;56;78;153;10;0;0;10;24;21;2;1;10;8;3;5;5;1;0;1;3
AA;514;526;73;150;40;263;108;68;32;8;14;12;0;3;9;0;9;6;2;0;0;0;2
AA GB;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
AA Gesamt;515;526;73;150;40;263;108;68;32;8;14;12;0;3;9;0;9;7;2;0;0;0;2
BMI;683;681;248;42;103;288;11;0;1;10;20;11;1;0;10;0;9;3;1;1;0;0;0
BMI GB;795;750;311;77;146;216;11;2;3;6;16;20;1;3;13;3;10;7;1;0;0;0;1
BMI Gesamt;1478;1431;559;119;249;504;22;2;4;16;36;31;2;3;23;3;19;10;2;1;0;0;1
BMJ;384;388;88;39;45;216;12;0;1;11;6;6;0;2;2;2;3;1;1;0;0;0;1
BMJ GB;149;156;53;16;28;59;4;0;0;4;7;5;0;1;4;0;5;3;0;0;0;0;0
BMJ Gesamt;533;544;141;55;73;275;16;0;1;15;13;11;0;3;6;2;8;4;1;0;0;0;1
BMF;483;467;27;38;130;272;12;0;1;11;5;3;1;0;1;1;0;1;0;0;0;0;0
BMF GB;6847;6767;3584;937;526;1720;981;580;236;165;76;49;10;1;15;23;12;1;4;0;0;1;3
BMF Gesamt;7330;7234;3611;975;656;1992;993;580;237;176;81;52;11;1;16;24;12;2;4;0;0;1;3
BMWK;335;313;48;42;40;183;20;3;5;12;10;11;1;4;5;1;6;1;8;4;0;3;1
BMWK GB;827;822;334;53;85;350;10;0;1;9;8;8;0;1;4;3;1;0;0;0;0;0;0
BMWK Gesamt;1162;1135;382;95;125;533;30;3;6;21;18;19;1;5;9;4;7;1;8;4;0;3;1
BMEL;134;153;25;39;12;77;16;0;0;16;2;1;0;1;0;0;1;0;0;0;0;0;0
BMEL GB ;84;76;54;4;10;8;24;10;8;6;3;2;0;0;1;1;0;1;0;0;0;0;0
BMEL Gesamt;218;229;79;43;22;85;40;10;8;22;5;3;0;1;1;1;1;1;0;0;0;0;0
BMVg;349;312;85;44;30;153;0;0;0;0;2;1;0;0;0;1;0;1;0;0;0;0;0
BMVg GB;62;60;31;6;11;12;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0
BMVg Gesamt;411;372;116;50;41;165;0;0;0;0;3;2;0;0;1;1;0;1;0;0;0;0;0
BMFSFJ;201;210;63;9;69;69;0;0;0;0;10;9;0;0;9;0;0;3;0;0;0;0;0
BMFSFJ GB;156;155;142;8;3;2;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0
BMFSFJ Gesamt;357;365;205;17;72;71;1;0;0;1;10;10;1;0;9;0;0;3;0;0;0;0;0
BMG;343;371;136;49;38;148;13;0;0;13;6;4;1;0;2;1;3;6;1;1;0;0;0
BMG GB;325;310;95;21;44;150;5;1;1;3;59;51;1;0;4;46;0;9;7;2;0;2;3
BMG Gesamt;668;681;231;70;82;298;18;1;1;16;65;55;2;0;6;47;3;15;8;3;0;2;3
BMDV;547;592;144;58;54;336;0;0;0;0;11;8;1;2;5;0;1;0;6;0;5;0;1
BMDV GB;531;505;285;68;45;107;30;11;11;8;12;10;4;0;4;2;1;1;1;0;0;0;1
BMDV Gesamt;1078;1097;429;126;99;443;30;11;11;8;23;18;5;2;9;2;2;1;7;0;5;0;2
BMUV;65;60;46;0;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BMUV GB;36;35;27;1;2;5;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
BMUV Gesamt;101;95;73;1;4;17;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
BMBF;263;251;72;24;44;111;4;1;2;1;6;4;0;0;4;0;0;3;3;0;0;0;3
BMBF GB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BMBF Gesamt;263;251;72;24;44;111;4;1;2;1;6;4;0;0;4;0;0;3;3;0;0;0;3
BKM;80;78;56;1;2;19;6;0;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0
