name,"Eingang Anträge in 2025","Erledigungen und Bescheide in 2025 *","Informationszugang gewährt","Informationszugang teilweise gewährt","Informationszugang abgelehnt","sonstige Erledigung","Gebühr erhoben",Höhe der Gebühr unter 50 €,Höhe der Gebühr 50 bis 100 €,Höhe der Gebühr über 100 € ,"Eingang Widersprüche in 2025","Erledigungen und Widerspruchsbescheide in 2025*",Abhilfe,"Teilweise Abhilfe","Zurückweisung",sonstige Erledigung,"W-Gebühr erhoben","Eingang Klagen in 2025","Klageerledigungen in 2025 *",Stattgabe,"Teilweise Stattgabe","Klageabweisung","sonstige Erledigung"
BK Amt,301,309,19,20,33,237,30,4,3,23,16,15,4,4,6,1,7,7,5,0,0,3,2
BK Amt GB,13,13,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK Amt Gesamt,314,322,19,20,45,238,30,4,3,23,16,15,4,4,6,1,7,7,5,0,0,3,2
BMAS,177,169,33,16,15,105,0,0,0,0,2,2,0,0,2,0,1,2,1,0,0,1,0
BMAS GB,949,886,624,60,85,117,27,0,3,24,25,20,1,6,10,3,3,7,4,1,0,1,2
BMAS Gesamt,1.126,1.055,657,76,100,222,27,0,3,24,27,22,1,6,12,3,4,9,5,1,0,2,2
AA,559,569,55,113,30,371,87,50,29,8,13,14,0,3,4,7,4,3,2,0,0,0,2
AA GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA Gesamt,559,569,55,113,30,371,87,50,29,8,13,14,0,3,4,7,4,3,2,0,0,0,2
BMI,586,590,114,38,119,319,24,2,3,19,31,17,1,3,9,4,6,6,5,1,1,0,3
BMI GB,896,821,312,86,170,253,20,2,5,13,31,24,3,2,17,2,5,8,2,0,0,0,2
BMI Gesamt,1.482,1.411,426,124,289,572,44,4,8,32,62,41,4,5,26,6,11,14,7,1,1,0,5
BMJV,273,266,30,23,25,188,6,0,1,5,8,7,0,2,2,3,3,1,3,0,0,1,2
BMJV GB,190,177,50,18,37,72,2,0,0,2,6,4,0,0,3,1,3,1,1,0,0,0,1
BMJV Gesamt,463,443,80,41,62,260,8,0,1,7,14,11,0,2,5,4,6,2,4,0,0,1,3
BMF,557,524,19,29,132,344,7,0,2,5,11,6,1,1,4,0,0,2,1,0,0,0,1
BMF GB,8.784,8.529,4.532,1.127,742,2.128,1.308,867,291,150,54,46,2,3,19,22,17,3,7,0,1,4,2
BMF Gesamt,9.341,9.053,4.551,1.156,874,2.472,1.315,867,293,155,65,52,3,4,23,22,17,5,8,0,1,4,3
BMWE,351,334,32,45,49,208,15,1,2,12,9,5,0,1,4,0,5,1,2,0,0,0,2
BMWE GB,934,898,388,49,99,362,24,3,10,11,10,8,0,0,8,0,3,3,3,0,0,3,0
BMWE Gesamt,1.285,1.232,420,94,148,570,39,4,12,23,19,13,0,1,12,0,8,4,5,0,0,3,2
BMLEH,160,158,13,22,13,110,7,0,0,7,2,1,0,0,0,1,0,0,0,0,0,0,0
BMLEH GB,74,63,31,13,4,15,17,7,7,3,3,2,0,0,2,0,1,2,1,0,0,1,0
BMLEH Gesamt,234,221,44,35,17,125,24,7,7,10,5,3,0,0,2,1,1,2,1,0,0,1,0
BMVg,401,371,89,31,37,214,1,0,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0
BMVg GB,63,65,30,6,12,17,4,0,1,3,4,4,1,0,3,0,1,1,0,0,0,0,0
BMVg Gesamt,464,436,119,37,49,231,5,0,1,4,6,5,1,0,4,0,2,1,0,0,0,0,0
BMBFSFJ,169,166,40,5,55,66,0,0,0,0,3,3,0,1,2,0,0,1,0,0,0,0,0
BMBFSFJ GB,188,183,149,23,5,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BMBFSFJ Gesamt,357,349,189,28,60,72,1,0,0,1,3,3,0,1,2,0,0,1,0,0,0,0,0
BMG,361,315,164,9,12,130,5,0,1,4,10,6,1,1,4,0,6,1,0,0,0,0,0
BMG GB,306,246,63,27,44,112,24,1,1,22,26,17,0,4,8,5,3,6,5,0,1,1,3
BMG Gesamt,667,561,227,36,56,242,29,1,2,26,36,23,1,5,12,5,9,7,5,0,1,1,3
BMDS,57,41,7,4,11,19,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BMDS GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
