name,ressort_name,year,Eingang_Erstanträge,Eingang_Klagen,Informationszugang_gewährt,Informationszugang_teilweise_gewährt,Informationszugang_abgelehnt,sonstige_Erledigung,Gebühr_erhoben,Eingang_Widersprüche
BK,BK,2010-01-01,30,5,5,3,7,12,4,3
BK,BK,2010-01-01,1,0,0,0,1,0,0,0
BMAS,BMAS,2010-01-01,9,2,3,0,6,0,1,3
BMAS,BMAS,2010-01-01,151,13,87,17,49,15,22,17
AA,AA,2010-01-01,158,7,69,33,21,25,31,27
AA,AA,2010-01-01,0,0,0,0,0,0,0,0
BMI,BMI,2010-01-01,42,0,21,8,7,7,8,6
BMI,BMI,2010-01-01,56,1,25,4,8,31,2,4
BMJ,BMJ,2010-01-01,59,1,31,2,19,5,3,4
BMJ,BMJ,2010-01-01,25,1,14,4,7,2,2,2
BMF,BMF,2010-01-01,25,0,12,5,4,5,0,2
BMF,BMF,2010-01-01,223,16,63,29,82,22,10,51
BMWi,BMWE,2010-01-01,30,0,11,4,4,7,5,4
BMWi,BMWE,2010-01-01,105,1,65,11,24,4,6,0
BMELV,BMLEH,2010-01-01,1,0,2,0,0,0,1,0
BMELV,BMLEH,2010-01-01,24,0,15,2,2,1,12,0
BMVg,BMVg,2010-01-01,22,0,10,3,4,4,0,1
BMVg,BMVg,2010-01-01,29,0,21,3,7,2,0,0
BMFSFJ,BMBFSFJ,2010-01-01,11,1,6,0,3,1,2,3
BMFSFJ,BMBFSFJ,2010-01-01,27,0,22,1,0,5,4,1
BMG,BMG,2010-01-01,7,1,3,1,2,0,0,3
BMG,BMG,2010-01-01,242,0,150,30,40,27,10,1
BMVBS,BMV,2010-01-01,55,3,23,7,5,20,0,6
BMVBS,BMV,2010-01-01,173,0,112,22,13,25,26,17
BMU,BMUKN,2010-01-01,0,0,0,0,0,0,0,0
BMU,BMUKN,2010-01-01,2,0,1,0,0,0,1,0
BMBF,BMFTR,2010-01-01,8,2,9,0,0,0,1,1
BMBF,BMFTR,2010-01-01,2,0,0,1,0,1,0,0
BKM,BKM,2010-01-01,10,0,6,4,1,2,4,3
BKM,BKM,2010-01-01,11,2,1,1,3,0,0,4
BMZ,BMZ,2010-01-01,11,0,11,0,0,0,2,0
BPA,BPA,2010-01-01,4,0,1,2,0,1,0,0
BPrA,BPrA,2010-01-01,4,0,0,3,1,0,0,1
BK,BK,2011-01-01,37,1,6,8,0,10,2,3
BK,BK,2011-01-01,0,0,0,0,0,0,0,0
BMAS,BMAS,2011-01-01,20,2,6,0,6,2,1,2
BMAS,BMAS,2011-01-01,315,40,163,5,133,22,66,55
AA,AA,2011-01-01,153,7,86,41,9,27,38,8
AA,AA,2011-01-01,0,0,0,0,0,0,0,0
BMI,BMI,2011-01-01,99,6,26,9,8,21,3,6
BMI,BMI,2011-01-01,70,6,22,6,16,24,25,10
BMJ,BMJ,2011-01-01,72,4,30,10,8,18,10,5
BMJ,BMJ,2011-01-01,26,0,13,3,0,8,0,0
BMF,BMF,2011-01-01,46,1,15,3,11,10,4,2
BMF,BMF,2011-01-01,1133,311,468,40,533,266,179,545
BMWi,BMWE,2011-01-01,36,1,10,7,15,3,5,5
BMWi,BMWE,2011-01-01,453,5,407,7,23,16,30,3
BMELV,BMLEH,2011-01-01,14,1,8,3,1,1,5,1
BMELV,BMLEH,2011-01-01,37,0,26,6,2,5,23,2
BMVg,BMVg,2011-01-01,36,1,35,1,2,0,5,2
BMVg,BMVg,2011-01-01,26,0,17,1,2,7,1,2
BMFSFJ,BMBFSFJ,2011-01-01,12,0,4,0,3,5,1,0
BMFSFJ,BMBFSFJ,2011-01-01,8,0,5,1,1,1,1,1
BMG,BMG,2011-01-01,17,2,5,2,2,6,1,3
BMG,BMG,2011-01-01,260,0,163,27,44,20,22,3
BMVBS,BMV,2011-01-01,153,2,104,5,19,19,23,4
BMU,BMUKN,2011-01-01,2,0,0,1,0,1,0,0
BMU,BMUKN,2011-01-01,14,0,7,2,5,0,0,1
BMBF,BMFTR,2011-01-01,30,0,8,3,7,2,1,1
BMBF,BMFTR,2011-01-01,0,0,0,0,0,0,0,0
BKM,BKM,2011-01-01,11,1,4,0,1,2,0,0
BKM,BKM,2011-01-01,13,0,6,4,0,5,2,0
BMZ,BMZ,2011-01-01,19,0,16,2,0,0,2,2
BPA,BPA,2011-01-01,6,0,4,0,0,2,0,0
BPrA,BPrA,2011-01-01,11,0,2,1,8,1,0,1
BT,BT,2011-01-01,67,8,29,4,34,11,0,7
BBank,BBank,2011-01-01,13,0,1,3,7,2,0,2
BfDI,BfDI,2011-01-01,26,2,25,0,0,1,0,0
BK,BK,2012-01-01,786,7,754,17,7,9,9,8
BK,BK,2012-01-01,4,0,0,0,4,0,0,1
BMAS,BMAS,2012-01-01,27,2,14,4,12,1,5,8
BMAS,BMAS,2012-01-01,332,7,161,6,144,20,94,36
AA,AA,2012-01-01,147,3,63,17,7,50,35,13
AA,AA,2012-01-01,0,0,0,0,0,0,0,0
BMI,BMI,2012-01-01,149,5,48,75,28,26,69,49
BMI,BMI,2012-01-01,70,1,24,10,15,20,7,7
BMJ,BMJ,2012-01-01,57,5,27,14,14,9,9,9
BMJ,BMJ,2012-01-01,41,1,21,3,2,11,2,4
BMF,BMF,2012-01-01,64,4,30,9,22,6,10,6
BMF,BMF,2012-01-01,2903,164,689,1460,149,100,232,3042
BMWi,BMWE,2012-01-01,125,14,30,24,42,14,11,24
BMWi,BMWE,2012-01-01,437,2,365,17,36,11,54,5
BMELV,BMLEH,2012-01-01,7,0,5,1,0,0,2,0
BMELV,BMLEH,2012-01-01,40,0,38,1,0,3,25,0
BMVg,BMVg,2012-01-01,47,0,33,6,3,6,3,3
BMVg,BMVg,2012-01-01,21,0,17,0,0,2,2,0
BMFSFJ,BMBFSFJ,2012-01-01,14,0,7,2,3,1,1,2
BMFSFJ,BMBFSFJ,2012-01-01,19,2,5,6,6,1,1,9
